DEPARTAMENTO;CLASE;TIPO;NOMBRE;NOMBRE CIENTÍFICO;IMAGEN;ICONO
Boyacá;Plantas;Introducida;Balsamina Asiática;Impatiens balsamina;https://inaturalist-open-data.s3.amazonaws.com/photos/1282381/small.jpg;No disponible
Boyacá;Plantas;Introducida;Campana Rey Sudafricana;Podranea ricasoliana;https://static.inaturalist.org/photos/152851862/small.jpg;No disponible
Boyacá;Plantas;Introducida;Eugenia;Syzygium paniculatum;https://inaturalist-open-data.s3.amazonaws.com/photos/1541077/small.jpg;No disponible
Boyacá;Plantas;Introducida;No disponible;Thunbergia mysorensis;https://inaturalist-open-data.s3.amazonaws.com/photos/50593278/small.jpg;No disponible
Boyacá;Plantas;Introducida;Chayote;Sicyos edulis;https://inaturalist-open-data.s3.amazonaws.com/photos/56699633/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Campana Morada;Cobaea scandens;https://inaturalist-open-data.s3.amazonaws.com/photos/3208394/small.jpg;No disponible
Boyacá;Plantas;Introducida;Cachimbo Amarillo;Sanchezia oblonga;https://static.inaturalist.org/photos/58845486/small.jpg;No disponible
Boyacá;Plantas;Introducida;Milenrama;Achillea millefolium;https://inaturalist-open-data.s3.amazonaws.com/photos/4902/small.jpg;No disponible
Boyacá;Plantas;Introducida;Llantén Rastrogero;Plantago major;https://inaturalist-open-data.s3.amazonaws.com/photos/349979346/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Cerezo Criollo;Prunus serotina;https://inaturalist-open-data.s3.amazonaws.com/photos/14006/small.jpg;No disponible
Boyacá;Plantas;Introducida;Amapola de California;Eschscholzia californica;https://inaturalist-open-data.s3.amazonaws.com/photos/1233073/small.;No disponible
Boyacá;Plantas;Introducida;Lengua de Vaca;Rumex obtusifolius;https://inaturalist-open-data.s3.amazonaws.com/photos/5084024/small.jpg;No disponible
Boyacá;Plantas;Introducida;Espanta Novia;Catharanthus roseus;https://inaturalist-open-data.s3.amazonaws.com/photos/54935295/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Verónica;Veronica serpyllifolia;https://inaturalist-open-data.s3.amazonaws.com/photos/424131091/small.jpeg;No disponible
Boyacá;Plantas;Introducida;Níspero Chino;Eriobotrya japonica;https://static.inaturalist.org/photos/1166692/small.JPG;No disponible
